GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1170.34,2776.45,4697.73,-2863.5,-4.08,1289.47,79.11,-2644.4,168.06,7145.52,-2476.34,4669.18
2,1174.46,2728.42,4674.58,-2847.24,-3.06,1287.46,90.74,-2646.33,168.1,7105.35,-2478.23,4627.12
3,1130.65,2790.49,4628.43,-2815.46,-4.45,1296.73,90.17,-2649.57,169.97,7116.55,-2479.6,4636.95
4,1162.58,2810.76,4612.7,-2805.71,22.6,1265.48,74.81,-2665.85,173.4,7143.21,-2492.45,4650.76
5,1187.1,2768.45,4597.1,-2837.54,-2.73,1299.07,80.33,-2639.96,169.4,7091.78,-2470.57,4621.21
6,1182.24,2776.33,4599.56,-2841.76,17.61,1285.16,78.33,-2660.0,173.53,7097.48,-2486.46,4611.02
7,1145.99,2861.74,4604.46,-2853.46,12.39,1289.32,75.82,-2654.24,172.36,7136.25,-2481.88,4654.37
8,1173.59,2776.83,4630.71,-2861.75,22.91,1301.32,77.18,-2660.03,172.46,7120.79,-2487.57,4633.22
9,1175.89,2801.92,4601.39,-2846.66,14.77,1274.77,78.52,-2648.52,170.12,7100.6,-2478.41,4622.2
10,1148.83,2788.47,4601.5,-2859.19,-1.23,1290.53,78.8,-2642.68,171.53,7047.72,-2471.15,4576.57
11,1102.06,2813.02,4614.53,-2815.45,-4.63,1286.04,83.75,-2643.73,171.89,7079.31,-2471.84,4607.48
12,1152.64,2836.15,4626.02,-2838.96,-8.13,1286.83,78.52,-2629.94,172.41,7133.08,-2457.53,4675.55
13,1111.02,2831.4,4597.39,-2832.87,-26.63,1306.66,83.91,-2624.24,173.02,7070.88,-2451.22,4619.66
14,1127.76,2814.09,4611.15,-2820.19,-53.64,1274.08,82.38,-2601.38,171.34,7035.64,-2430.04,4605.6
15,1157.89,2770.32,4597.08,-2825.85,-27.44,1286.82,74.33,-2618.45,170.67,7033.15,-2447.78,4585.37
16,1172.3,2806.34,4589.61,-2789.31,-13.0,1279.59,80.44,-2636.29,172.43,7125.97,-2463.86,4662.11
17,1134.42,2800.32,4587.48,-2798.3,-7.26,1288.3,82.27,-2638.66,170.86,7087.23,-2467.8,4619.43
18,1171.92,2797.56,4608.58,-2840.95,-16.12,1299.74,80.37,-2629.3,171.23,7101.1,-2458.07,4643.04
19,1112.26,2797.34,4583.9,-2870.57,22.85,1301.12,84.2,-2668.97,171.13,7031.09,-2497.84,4533.25
20,1197.53,2766.92,4604.6,-2816.48,-16.47,1290.3,79.66,-2633.34,172.89,7106.04,-2460.45,4645.59
21,1168.02,2804.85,4549.6,-2834.98,-3.9,1269.19,82.8,-2642.56,171.89,7035.59,-2470.67,4564.92
22,1125.02,2790.46,4552.54,-2835.52,16.76,1313.41,84.92,-2665.8,173.11,7047.59,-2492.69,4554.9
23,1170.98,2736.69,4622.52,-2827.1,8.24,1307.4,85.05,-2659.74,174.27,7103.78,-2485.47,4618.32
24,1165.58,2807.12,4604.45,-2811.31,-20.91,1279.23,78.93,-2629.01,172.96,7103.08,-2456.05,4647.03
25,1186.11,2780.75,4626.75,-2851.39,-5.87,1287.66,81.86,-2645.37,171.12,7105.87,-2474.25,4631.62
26,1170.4,2831.12,4650.92,-2836.77,-34.84,1266.29,77.12,-2619.79,171.65,7124.23,-2448.14,4676.09
27,1162.29,2797.04,4619.93,-2852.81,-25.85,1290.8,82.74,-2626.02,171.87,7074.14,-2454.15,4619.99
28,1183.68,2748.6,4611.76,-2844.14,-2.86,1289.27,82.45,-2643.64,173.11,7068.76,-2470.53,4598.23
29,1200.95,2786.62,4603.23,-2811.12,-15.22,1284.48,76.76,-2632.0,172.83,7125.69,-2459.17,4666.53
30,1117.83,2869.81,4599.56,-2821.06,-26.61,1290.07,83.82,-2629.0,173.78,7113.42,-2455.21,4658.21
31,1222.87,2762.92,4617.95,-2804.28,-23.83,1280.33,78.53,-2623.25,171.21,7134.48,-2452.04,4682.44
32,1144.66,2863.0,4622.7,-2829.32,-31.2,1258.11,74.06,-2614.25,170.06,7102.0,-2444.18,4657.81
33,1156.34,2852.59,4604.95,-2818.32,-32.89,1308.2,82.18,-2620.53,174.23,7153.04,-2446.31,4706.73
34,1178.89,2835.29,4626.11,-2811.92,-8.03,1298.99,81.65,-2648.65,174.72,7200.99,-2473.93,4727.06
35,1152.15,2792.08,4610.52,-2836.21,-10.6,1302.0,89.2,-2648.29,174.67,7099.13,-2473.62,4625.5
36,1164.46,2815.21,4601.07,-2831.11,-21.98,1285.49,83.6,-2633.52,172.0,7096.74,-2461.52,4635.22
37,1169.65,2808.98,4608.06,-2824.33,-26.94,1286.55,83.91,-2622.35,172.32,7105.87,-2450.03,4655.84
38,1171.11,2785.41,4598.13,-2802.73,-45.96,1258.61,88.12,-2612.1,171.73,7052.69,-2440.36,4612.33
39,1155.68,2849.38,4605.0,-2774.76,-50.73,1281.53,82.64,-2608.34,172.4,7148.74,-2435.94,4712.8
40,1175.52,2757.35,4579.02,-2826.61,-33.96,1254.91,87.19,-2624.79,173.19,6993.41,-2451.6,4541.81
41,1164.38,2700.8,4618.94,-2823.89,-35.17,1284.04,88.11,-2626.24,173.38,6997.2,-2452.86,4544.34
42,1173.98,2852.29,4675.67,-2785.45,-40.11,1290.6,83.35,-2619.86,172.94,7250.34,-2446.92,4803.42
43,1159.89,2790.01,4636.33,-2782.28,-50.04,1264.92,83.01,-2611.84,174.34,7101.87,-2437.49,4664.37
44,1126.91,2810.95,4636.39,-2794.19,-42.78,1280.12,88.16,-2624.43,173.32,7105.56,-2451.11,4654.45
45,1137.88,2836.33,4600.17,-2806.45,-44.8,1294.74,80.01,-2611.51,173.51,7097.88,-2437.99,4659.89
46,1154.98,2877.78,4603.63,-2805.97,-32.69,1303.66,80.82,-2625.17,173.4,7182.21,-2451.77,4730.44
47,1201.41,2808.43,4633.03,-2811.2,-28.22,1294.35,83.18,-2632.66,174.09,7180.99,-2458.57,4722.42
48,1139.13,2786.47,4586.2,-2787.35,-38.71,1298.33,90.35,-2629.2,175.75,7074.42,-2453.45,4620.97
49,1161.12,2761.57,4580.6,-2847.7,-13.16,1299.67,99.52,-2649.11,173.46,7041.61,-2475.64,4565.97
50,1154.94,2789.93,4599.91,-2835.62,-21.78,1265.68,90.47,-2637.79,173.33,7043.53,-2464.46,4579.07
51,1160.35,2822.6,4635.54,-2818.04,-40.32,1288.25,86.1,-2620.81,174.84,7134.46,-2445.97,4688.49
52,1174.49,2822.39,4621.9,-2833.04,-42.87,1288.79,91.18,-2618.78,173.8,7122.86,-2444.98,4677.88
53,1174.12,2849.19,4642.33,-2854.84,-31.02,1248.42,91.7,-2630.44,174.26,7119.88,-2456.18,4663.71
54,1186.12,2750.24,4611.28,-2797.64,-59.74,1271.74,95.78,-2607.07,175.98,7057.78,-2431.09,4626.69
55,1168.03,2794.54,4660.76,-2832.97,-72.95,1279.0,89.71,-2595.88,174.46,7086.13,-2421.42,4664.71
