loss,status,keep_last_percent,navg,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf
0.3308,ok,55.0,100.0,50.0,15.0,0.5,18.0,17.0
0.3183,ok,25.0,300.0,150.0,15.0,log2,48.0,3.0
0.3157,ok,90.0,280.0,500.0,15.0,sqrt,12.0,17.0
0.3153,ok,80.0,40.0,150.0,10.0,sqrt,28.0,15.0
1000000.0,ok,100.0,320.0,150.0,30.0,,34.0,7.0
1000000.0,ok,35.0,160.0,250.0,30.0,,14.0,2.0
1000000.0,ok,65.0,40.0,200.0,,,20.0,17.0
0.33330000000000004,ok,95.0,140.0,200.0,20.0,auto,12.0,8.0
0.32230000000000003,ok,15.0,40.0,400.0,30.0,log2,12.0,15.0
0.3365,ok,35.0,180.0,100.0,,auto,4.0,6.0
1000000.0,ok,85.0,280.0,350.0,25.0,,12.0,11.0
0.32320000000000004,ok,85.0,380.0,100.0,10.0,0.5,32.0,11.0
0.31810000000000005,ok,75.0,380.0,100.0,30.0,0.5,44.0,6.0
0.3278,ok,40.0,260.0,100.0,30.0,0.5,30.0,5.0
0.3304,ok,70.0,140.0,350.0,,auto,20.0,19.0
0.3184,ok,100.0,320.0,400.0,,log2,36.0,14.0
0.32420000000000004,ok,65.0,360.0,350.0,15.0,auto,32.0,15.0
1000000.0,ok,50.0,20.0,450.0,,,42.0,4.0
1000000.0,ok,75.0,320.0,450.0,,,2.0,3.0
0.3183,ok,40.0,240.0,250.0,15.0,sqrt,46.0,8.0
0.31200000000000006,ok,90.0,220.0,300.0,10.0,sqrt,26.0,19.0
0.31599999999999995,ok,80.0,80.0,200.0,10.0,sqrt,6.0,13.0
0.3177,ok,60.0,200.0,50.0,25.0,sqrt,26.0,17.0
0.31200000000000006,ok,90.0,220.0,300.0,10.0,sqrt,26.0,19.0
0.31399999999999995,ok,100.0,100.0,300.0,10.0,sqrt,40.0,20.0
1000000.0,ok,80.0,0.0,250.0,10.0,sqrt,38.0,13.0
0.31399999999999995,ok,90.0,220.0,150.0,10.0,sqrt,28.0,20.0
0.3154,ok,50.0,120.0,300.0,20.0,sqrt,22.0,18.0
0.3173,ok,55.0,240.0,300.0,10.0,sqrt,24.0,19.0
0.3147,ok,95.0,200.0,400.0,10.0,sqrt,18.0,10.0
0.32320000000000004,ok,15.0,180.0,350.0,25.0,log2,16.0,16.0
0.3134,ok,90.0,240.0,300.0,10.0,sqrt,8.0,19.0
0.3238,ok,70.0,80.0,500.0,10.0,0.5,28.0,18.0
0.3136,ok,95.0,300.0,250.0,20.0,sqrt,24.0,13.0
1000000.0,ok,5.0,280.0,450.0,10.0,log2,36.0,16.0
0.3146,ok,60.0,340.0,200.0,15.0,sqrt,22.0,18.0
0.31389999999999996,ok,85.0,160.0,400.0,10.0,sqrt,48.0,1.0
0.3315,ok,75.0,220.0,250.0,20.0,auto,16.0,10.0
0.31220000000000003,ok,100.0,260.0,300.0,25.0,sqrt,32.0,20.0
0.3154,ok,95.0,180.0,200.0,10.0,log2,26.0,16.0
0.3188,ok,45.0,140.0,350.0,15.0,0.5,34.0,12.0
1000000.0,ok,25.0,220.0,150.0,30.0,,18.0,14.0
0.3136,ok,85.0,400.0,500.0,10.0,sqrt,8.0,17.0
0.3257,ok,65.0,300.0,250.0,20.0,auto,30.0,19.0
0.3286,ok,30.0,160.0,350.0,25.0,0.5,14.0,8.0
0.3188,ok,90.0,260.0,50.0,30.0,sqrt,20.0,9.0
0.31810000000000005,ok,70.0,120.0,400.0,10.0,log2,40.0,15.0
1000000.0,ok,80.0,340.0,300.0,10.0,,30.0,12.0
0.3307,ok,75.0,60.0,200.0,15.0,auto,10.0,14.0
0.31310000000000004,ok,60.0,280.0,450.0,,sqrt,24.0,18.0
1000000.0,ok,10.0,180.0,350.0,30.0,0.5,36.0,16.0
0.31989999999999996,ok,90.0,160.0,150.0,10.0,sqrt,14.0,6.0
1000000.0,ok,45.0,300.0,250.0,25.0,,34.0,20.0
0.32830000000000004,ok,100.0,200.0,400.0,,auto,42.0,17.0
0.32130000000000003,ok,65.0,340.0,300.0,20.0,log2,22.0,12.0
0.3126,ok,95.0,120.0,150.0,10.0,sqrt,28.0,14.0
0.3145,ok,55.0,400.0,350.0,15.0,sqrt,46.0,15.0
1000000.0,ok,70.0,260.0,200.0,10.0,,50.0,19.0
0.3226,ok,85.0,360.0,450.0,30.0,0.5,32.0,7.0
0.3245,ok,80.0,220.0,300.0,,sqrt,4.0,3.0
0.3315,ok,25.0,100.0,100.0,10.0,auto,26.0,11.0
0.31499999999999995,ok,90.0,140.0,250.0,25.0,sqrt,20.0,17.0
0.3177,ok,35.0,240.0,350.0,10.0,log2,38.0,4.0
0.31820000000000004,ok,75.0,20.0,500.0,20.0,sqrt,10.0,9.0
1000000.0,ok,80.0,320.0,400.0,10.0,,16.0,1.0
0.31220000000000003,ok,100.0,260.0,300.0,25.0,sqrt,32.0,20.0
0.31279999999999997,ok,95.0,240.0,300.0,25.0,sqrt,28.0,20.0
0.3157,ok,85.0,280.0,250.0,25.0,sqrt,24.0,18.0
0.31379999999999997,ok,100.0,180.0,350.0,25.0,sqrt,30.0,19.0
0.3136,ok,95.0,200.0,250.0,25.0,sqrt,34.0,16.0
0.3123,ok,90.0,220.0,300.0,25.0,sqrt,38.0,20.0
0.3133,ok,80.0,300.0,400.0,15.0,sqrt,18.0,19.0
0.3135,ok,100.0,260.0,200.0,25.0,sqrt,22.0,18.0
0.3204,ok,70.0,220.0,350.0,10.0,0.5,42.0,15.0
0.31320000000000003,ok,85.0,320.0,300.0,30.0,sqrt,26.0,17.0
0.3166,ok,100.0,140.0,250.0,,sqrt,36.0,18.0
0.31689999999999996,ok,65.0,260.0,300.0,10.0,log2,32.0,13.0
0.32509999999999994,ok,75.0,360.0,200.0,20.0,auto,40.0,19.0
0.31320000000000003,ok,90.0,180.0,350.0,25.0,sqrt,30.0,20.0
0.3146,ok,55.0,380.0,250.0,10.0,sqrt,44.0,16.0
0.3226,ok,90.0,240.0,400.0,15.0,0.5,24.0,17.0
1000000.0,ok,95.0,280.0,200.0,10.0,,34.0,2.0
0.3207,ok,20.0,80.0,150.0,30.0,sqrt,22.0,15.0
0.31720000000000004,ok,60.0,160.0,450.0,25.0,log2,28.0,20.0
0.3257,ok,95.0,200.0,300.0,,auto,20.0,18.0
0.31699999999999995,ok,80.0,300.0,350.0,10.0,sqrt,16.0,7.0
0.3164,ok,50.0,340.0,350.0,20.0,sqrt,32.0,19.0
1000000.0,ok,45.0,240.0,250.0,10.0,,18.0,14.0
0.3237,ok,85.0,280.0,400.0,15.0,0.5,26.0,17.0
0.3186,ok,40.0,220.0,300.0,25.0,sqrt,30.0,13.0
0.31389999999999996,ok,30.0,120.0,250.0,10.0,sqrt,36.0,16.0
0.3194,ok,75.0,180.0,450.0,30.0,log2,38.0,11.0
0.3315,ok,85.0,200.0,100.0,,auto,24.0,12.0
0.31299999999999994,ok,100.0,160.0,200.0,10.0,sqrt,32.0,18.0
0.31299999999999994,ok,65.0,260.0,300.0,25.0,sqrt,12.0,20.0
1000000.0,ok,70.0,100.0,400.0,20.0,,44.0,19.0
0.32299999999999995,ok,95.0,280.0,350.0,10.0,0.5,20.0,14.0
0.3143,ok,90.0,380.0,250.0,15.0,sqrt,28.0,5.0
0.32099999999999995,ok,80.0,320.0,300.0,10.0,log2,14.0,10.0
0.31420000000000003,ok,100.0,240.0,350.0,25.0,sqrt,26.0,15.0
0.32920000000000005,ok,70.0,200.0,200.0,30.0,auto,10.0,19.0
0.3137,ok,85.0,140.0,150.0,,sqrt,46.0,9.0
0.31189999999999996,ok,60.0,220.0,250.0,10.0,sqrt,34.0,17.0
1000000.0,ok,95.0,300.0,500.0,20.0,,40.0,16.0
0.3228,ok,50.0,60.0,300.0,25.0,0.5,22.0,19.0
0.31010000000000004,ok,100.0,260.0,450.0,10.0,sqrt,48.0,18.0
0.31210000000000004,ok,80.0,180.0,400.0,15.0,sqrt,30.0,20.0
0.3284,ok,40.0,160.0,50.0,10.0,auto,34.0,13.0
1000000.0,ok,5.0,220.0,100.0,10.0,log2,36.0,16.0
0.3136,ok,60.0,160.0,250.0,10.0,sqrt,42.0,17.0
0.3157,ok,45.0,340.0,500.0,10.0,sqrt,48.0,15.0
0.3175,ok,55.0,240.0,500.0,10.0,sqrt,40.0,18.0
1000000.0,ok,35.0,320.0,450.0,10.0,,50.0,14.0
0.3164,ok,60.0,280.0,150.0,10.0,0.5,48.0,12.0
1000000.0,ok,20.0,360.0,50.0,10.0,sqrt,44.0,17.0
0.31520000000000004,ok,65.0,120.0,100.0,10.0,sqrt,46.0,15.0
1000000.0,ok,10.0,300.0,150.0,10.0,log2,38.0,11.0
0.3315,ok,30.0,260.0,450.0,30.0,auto,50.0,17.0
0.3167,ok,35.0,200.0,200.0,10.0,sqrt,2.0,10.0
0.3164,ok,75.0,140.0,500.0,,sqrt,12.0,18.0
1000000.0,ok,55.0,180.0,450.0,10.0,,42.0,16.0
0.32130000000000003,ok,50.0,100.0,400.0,20.0,sqrt,8.0,8.0
0.3164,ok,20.0,220.0,200.0,10.0,0.5,14.0,14.0
1000000.0,ok,15.0,260.0,250.0,15.0,sqrt,46.0,13.0
1000000.0,ok,65.0,0.0,100.0,10.0,log2,18.0,15.0
0.32889999999999997,ok,75.0,240.0,500.0,30.0,auto,34.0,18.0
0.31620000000000004,ok,90.0,280.0,150.0,,sqrt,6.0,16.0
0.31799999999999995,ok,45.0,380.0,200.0,10.0,sqrt,28.0,20.0
1000000.0,ok,70.0,320.0,350.0,20.0,,24.0,2.0
0.31100000000000005,ok,30.0,20.0,450.0,10.0,sqrt,48.0,19.0
0.31779999999999997,ok,60.0,200.0,250.0,10.0,0.5,40.0,12.0
0.32320000000000004,ok,85.0,400.0,400.0,15.0,sqrt,16.0,7.0
0.3174,ok,10.0,80.0,500.0,10.0,sqrt,44.0,17.0
0.32010000000000005,ok,30.0,40.0,450.0,30.0,log2,50.0,9.0
1000000.0,ok,25.0,0.0,450.0,10.0,auto,48.0,13.0
0.31899999999999995,ok,15.0,40.0,450.0,,sqrt,38.0,5.0
0.3144,ok,40.0,60.0,500.0,10.0,sqrt,48.0,14.0
1000000.0,ok,10.0,120.0,400.0,20.0,,42.0,19.0
0.3198,ok,20.0,180.0,450.0,10.0,sqrt,46.0,18.0
0.32030000000000003,ok,25.0,100.0,500.0,15.0,0.5,44.0,20.0
0.31510000000000005,ok,35.0,340.0,400.0,10.0,sqrt,50.0,19.0
1000000.0,ok,5.0,300.0,350.0,30.0,log2,48.0,17.0
0.32520000000000004,ok,30.0,140.0,450.0,10.0,auto,38.0,16.0
0.32030000000000003,ok,40.0,220.0,500.0,,sqrt,36.0,4.0
0.3147,ok,25.0,60.0,400.0,10.0,sqrt,44.0,11.0
0.3125,ok,50.0,240.0,350.0,10.0,sqrt,46.0,20.0
0.31410000000000005,ok,45.0,220.0,300.0,10.0,sqrt,30.0,19.0
0.31389999999999996,ok,95.0,260.0,250.0,10.0,sqrt,24.0,18.0
0.3163,ok,40.0,240.0,450.0,10.0,sqrt,40.0,18.0
0.3134,ok,35.0,200.0,400.0,10.0,sqrt,28.0,15.0
1000000.0,ok,15.0,280.0,300.0,10.0,sqrt,22.0,19.0
0.3127,ok,100.0,20.0,200.0,10.0,sqrt,34.0,20.0
0.31220000000000003,ok,75.0,260.0,500.0,10.0,sqrt,20.0,17.0
0.3167,ok,55.0,160.0,350.0,10.0,sqrt,32.0,19.0
0.31499999999999995,ok,90.0,240.0,450.0,20.0,sqrt,42.0,18.0
0.31299999999999994,ok,45.0,200.0,250.0,10.0,sqrt,36.0,16.0
1000000.0,ok,70.0,180.0,200.0,10.0,,26.0,17.0
