model_type,scr_frac,is_test,pcc_mean,pcc_std,mse_mean,mse_std,r2_mean,r2_std,acc_mean,acc_std,scr_frac_mean,scr_frac_std,accuracy_mean,accuracy_std,f1_mean,f1_std,mcc_mean,mcc_std
bin,0.0,False,,,,,,,,,0.0,0.0,0.810320197044335,0.052118628184359896,0.7914283636565702,0.052325656908104264,0.6296677346093795,0.10168134374734068
bin,0.0,True,,,,,,,,,0.0,,0.74,,0.7692307692307693,,0.47394278366525805,
bin,0.05,False,,,,,,,,,0.05,0.0,0.810320197044335,0.052118628184359896,0.7914283636565702,0.052325656908104264,0.6296677346093795,0.10168134374734068
bin,0.05,True,,,,,,,,,0.05,,0.74,,0.7692307692307693,,0.47394278366525805,
bin,0.1,False,,,,,,,,,0.1,0.0,0.7860591133004927,0.06355579716641421,0.7648028178774426,0.06748564447441946,0.5840590331493906,0.11447936241998877
bin,0.1,True,,,,,,,,,0.1,,0.7733333333333333,,0.8031837916063677,,0.5363528578605856,
bin,0.15,False,,,,,,,,,0.15,0.0,0.7542118226600985,0.06996703451578867,0.7462654944636092,0.0760323015586724,0.5228655697637821,0.1372014092190115
bin,0.15,True,,,,,,,,,0.15,,0.7,,0.7461212976022567,,0.3798496160289807,
bin,0.25,False,,,,,,,,,0.25,0.0,0.7514532019704434,0.05622247152057474,0.7107604199383373,0.08188328460134012,0.5027683130916277,0.11864815222914925
bin,0.25,True,,,,,,,,,0.25,,0.7475,,0.7716654107008288,,0.49491659601024335,
bin,0.5,False,,,,,,,,,0.5,0.0,0.572167487684729,0.06551518687285768,0.5010327464469791,0.09046656224021116,0.1366592114807884,0.1426689382276111
bin,0.5,True,,,,,,,,,0.5,,0.6783333333333333,,0.6979655712050079,,0.36817139512631564,
bin,0.75,False,,,,,,,,,0.75,0.0,0.5136453201970443,0.07129478297701637,0.5041589394682809,0.09272961311030667,0.03773371570291865,0.13755318445916775
bin,0.75,True,,,,,,,,,0.75,,0.5558333333333333,,0.6072218128224023,,0.0976343126878568,
bin,1.0,False,,,,,,,,,1.0,0.0,0.4748522167487685,0.09001978685425632,0.5018053364380926,0.09094303095883424,-0.04225607349131355,0.18315959628424072
bin,1.0,True,,,,,,,,,1.0,,0.39416666666666667,,0.3348581884720952,,-0.16658117396120561,
mclass,0.0,False,,,,,,,,,0.0,0.0,0.5774384236453202,0.0690974046063636,0.48494691624233766,0.06764947609233918,0.34743123842727486,0.1027393931200727
mclass,0.0,True,,,,,,,,,0.0,,0.7225,,0.591157310998904,,0.4824419888753739,
mclass,0.05,False,,,,,,,,,0.05,0.0,0.5715024630541872,0.0782343519320209,0.47198740144216683,0.062486812955927715,0.341909629119666,0.10115899153354048
mclass,0.05,True,,,,,,,,,0.05,,0.7716666666666666,,0.6511213218171654,,0.5594926481398625,
mclass,0.1,False,,,,,,,,,0.1,0.0,0.5639162561576354,0.07520932700448292,0.4668983551478993,0.0714793412723669,0.3295237040785172,0.09959848664973664
mclass,0.1,True,,,,,,,,,0.1,,0.6875,,0.5394095557454054,,0.428070166762201,
mclass,0.15,False,,,,,,,,,0.15,0.0,0.5667980295566503,0.09090981551301157,0.48009510897656804,0.09352743224464935,0.320152879914129,0.11926257717445858
mclass,0.15,True,,,,,,,,,0.15,,0.765,,0.6258687471265495,,0.5478853407116487,
mclass,0.25,False,,,,,,,,,0.25,0.0,0.5169458128078818,0.1053611315090773,0.37829428540144244,0.10727209138619108,0.15738688105164284,0.13472871439118808
mclass,0.25,True,,,,,,,,,0.25,,0.7425,,0.5900563853626823,,0.48215015882697737,
mclass,0.5,False,,,,,,,,,0.5,0.0,0.46120689655172414,0.07649710781212424,0.338313517623157,0.0627122169367558,0.12210231548391218,0.11565306611115884
mclass,0.5,True,,,,,,,,,0.5,,0.685,,0.48317629443867344,,0.3538102847625543,
mclass,0.75,False,,,,,,,,,0.75,0.0,0.42039408866995076,0.074287289066599,0.2896909646123433,0.047960508195986996,0.030948750432583386,0.11103690889586579
mclass,0.75,True,,,,,,,,,0.75,,0.665,,0.43416594732211494,,0.35634372747008497,
mclass,1.0,False,,,,,,,,,1.0,0.0,0.5100246305418719,0.07897302922495184,0.31795991832208936,0.0702179406277421,0.10836644597273615,0.10261697815595897
mclass,1.0,True,,,,,,,,,1.0,,0.6175,,0.3928216477029822,,0.15313981334970322,
