#ID_REF = 
#VALUE = Normalized signal intensity
ID_REF	VALUE
1	4774
2	2326
3	3509
4	5393
5	5930
6	26189
7	1851
8	2648
9	9726
10	7181
11	2819
12	11530
13	19188
14	4520
15	2803
16	2786
17	4230
18	16970
19	15894
20	1951
21	3939
22	16566
23	3222
24	2659
25	3388
26	5915
27	2783
28	3592
29	4353
30	2860
31	13520
32	4029
33	2925
34	4222
35	2528
36	6356
37	5805
38	4065
39	2675
40	4742
41	7885
42	2397
43	2623
44	4233
45	5101
46	18976
47	4418
48	4572
49	2126
50	2102
51	9328
52	7343
53	3753
54	6348
55	2218
56	2847
57	2575
58	3239
59	6480
60	15162
61	14712
62	4186
63	2586
64	5082
65	2462
66	2765
67	10220
68	3880
69	4937
70	19622
71	8634
72	4680
73	5254
74	3596
75	4050
76	5408
77	12610
78	12080
79	45334
80	3256
81	2386
82	3347
83	5204
84	15167
85	2904
86	6236
87	23967
88	2418
89	2811
90	5322
91	2275
92	6923
93	3170
94	3862
95	16657
96	3426
97	6067
98	11969
99	4854
100	45658
101	7065
102	19913
103	2741
104	2136
105	2577
106	4244
107	4172
108	4934
109	2093
110	2689
111	2631
112	5604
113	3427
114	2939
115	5337
116	2695
117	11899
118	2032
119	2602
120	5431
121	38900
122	4886
123	4738
124	3591
125	4213
126	23890
127	5572
128	6779
129	34859
130	2908
131	43096
132	2539
133	4172
134	2462
135	14177
136	3817
137	1888
138	4856
139	3849
140	2038
141	1838
142	3540
143	8479
144	3804
145	3944
146	3780
147	2735
148	7859
149	16801
150	3861
151	9924
152	9388
153	28512
154	2785
155	2928
156	21154
157	2475
158	2659
159	4494
160	3753
161	27420
162	3036
163	10815
164	3482
165	2002
166	4252
167	3247
168	8007
169	5710
170	5251
171	4480
172	2424
173	33809
174	2915
175	8238
176	3129
177	16004
178	4155
179	2327
180	3057
181	4777
182	5389
183	4033
184	3687
185	13437
186	14423
187	4190
188	17046
189	3269
190	5372
191	4950
192	3289
193	2323
194	1688
195	3378
196	4751
197	4119
198	2839
199	6321
200	1734
201	1937
202	5925
203	2513
204	11021
205	4165
206	2745
207	4615
208	18740
209	9270
210	1719
211	2392
212	3093
213	4707
214	4826
215	13530
216	3531
217	3397
218	21108
219	6896
220	4157
221	4096
222	8479
223	16224
224	2435
225	6495
226	1666
227	2191
228	4148
229	3488
230	3113
231	3496
232	25861
233	2246
234	2044
235	3371
236	4128
237	2279
238	9097
239	7108
240	29580
241	2448
242	6990
243	13521
244	4078
245	3683
246	2648
247	2489
248	8376
249	2834
250	3308
251	13846
252	3058
253	3540
254	5570
255	2545
256	2602
257	4697
258	9825
259	3774
260	22147
261	1798
262	5549
263	4451
264	5549
265	5961
266	14883
267	49766
268	4227
269	2411
270	7066
271	1989
272	3150
273	11625
274	2816
275	10789
276	2017
277	1847
278	3425
279	4601
280	5067
281	6791
282	2877
283	3581
284	3261
285	40708
286	2721
287	3181
288	3697
289	5891
290	2464
291	4128
292	2542
293	5549
294	2738
295	2158
